0.156,0.206,0.05,0.935,0.064,0.064,0.197,0.253,0.096,0.115,0.061,0.07,
0.132,0.231,0.052,0.052,0.06,0.058,0.092,0.083,0.188,0.187,0.115,0.117,
0.093,0.278,0.048,0.047,0.05,0.05,0.058,0.053,0.236,0.288,0.072,0.069,
0.066,0.086,0.048,0.049,0.247,0.251,0.062,0.061,0.303,0.361,0.108,0.081,
0.059,0.068,0.516,0.678,0.632,0.398,0.339,0.339,0.444,0.498,0.057,0.062,
0.051,0.277,0.714,0.83,0.752,0.642,0.552,0.565,0.599,0.553,0.067,0.055,
0.569,0.506,0.919,0.89,0.851,0.767,0.785,0.7,0.713,0.69,0.077,0.057,
0.047,0.046,0.045,0.046,0.046,0.047,0.047,0.047,0.882,0.922,0.67,0.773,
,,,,,,,,,,,,
